element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ar,2,"=""443.94611""","=""0.00001""","=""443.946110""","=""0.000008""","=""95""","=""""",,"=""173347.9158""","=""195866.8503""","=""3s2.3p4.(1D).4p""","=""2D*""","=""3/2""","=""3s2.3p4.(1D).5s""","=""2D""","=""3/2""",,"=""""","=""L11520""",
Ar,2,"=""443.98786""","=""0.00004""","=""443.987923""","=""0.000006""","=""22""","=""""",,"=""173347.9158""","=""195864.7296""","=""3s2.3p4.(1D).4p""","=""2D*""","=""3/2""","=""3s2.3p4.(1D).5s""","=""2D""","=""5/2""",,"=""""","=""L11520""",
Ar,2,"=""444.01213""","=""0.00009""","=""444.012110""","=""0.000006""","=""13""","=""""",,"=""159706.5337""","=""182222.1209""","=""3s2.3p4.(3P).4p""","=""2P*""","=""1/2""","=""3s2.3p4.(3P).5s""","=""4P""","=""3/2""",,"=""""","=""L11520""",
Ar,2,"=""444.5846""","=""0.0002""","=""444.584791""","=""0.000022""","=""5""","=""""",,"=""172335.5985""","=""194822.1833""","=""3s2.3p4.(1D).3d""","=""2D""","=""5/2""","=""3s2.3p4.(3P<2>).4f""","=""2[4]*""","=""7/2""",,"=""""","=""L11520""",
Ar,2,"=""444.84587""","=""0.00006""","=""444.845934""","=""0.000008""","=""14""","=""""",,"=""173393.4658""","=""195866.8503""","=""3s2.3p4.(1D).4p""","=""2D*""","=""5/2""","=""3s2.3p4.(1D).5s""","=""2D""","=""3/2""",,"=""""","=""L11520""",
Ar,2,"=""444.88791""","=""0.00001""","=""444.887916""","=""0.000006""","=""166""","=""6.5e+07""",D,"=""173393.4658""","=""195864.7296""","=""3s2.3p4.(1D).4p""","=""2D*""","=""5/2""","=""3s2.3p4.(1D).5s""","=""2D""","=""5/2""",,"=""T1240""","=""L11520""",
Ar,3,"=""444.9201""","=""0.0020""","=""444.9206""","=""0.0014""","=""7""","=""""",,"=""219337.54""","=""241807.155""","=""3s2.3p3.(2D*).3d""","=""1D*""","=""2""","=""3s2.3p3.(2P*).4p""","=""1P""","=""1""",,"=""""","=""L9366""",
Ar,2,"=""444.9521""","=""0.0003""","=""444.95203""","=""0.00003""","=""7""","=""""",,"=""172829.6539""","=""195297.6798""","=""3s2.3p4.(1D).3d""","=""2D""","=""3/2""","=""3s2.3p4.(3P<2>).4f""","=""2[1]*""","=""3/2""",,"=""""","=""L11520""",
Ar,2,"=""445.655""","=""0.002""","=""445.655075""","=""0.000018""","=""1""","=""""",,"=""186816.0496""","=""209248.6316""","=""3s2.3p4.(3P).4d""","=""2F""","=""7/2""","=""3s2.3p4.(1D<2>).4f""","=""2[3]*""","=""7/2""",,"=""""","=""L14821""",
Ar,2,"=""445.8885""","=""0.0008""","=""445.887904""","=""0.000014""","=""1h""","=""""",,"=""186171.3330""","=""208592.2016""","=""3s2.3p4.(3P).4d""","=""4P""","=""1/2""","=""3s2.3p4.(1D<2>).4f""","=""2[1]*""","=""3/2""",,"=""""","=""L14821""",
Ar,2,"=""446.05558""","=""0.00004""","=""446.055706""","=""0.000008""","=""35""","=""1.5e+06""",B+,"=""132630.7277""","=""155043.1619""","=""3s2.3p4.(3P).3d""","=""4D""","=""3/2""","=""3s2.3p4.(3P).4p""","=""4P*""","=""5/2""",,"=""T926""","=""L11520""",
Ar,2,"=""447.47591""","=""0.00001""","=""447.475916""","=""0.000008""","=""347""","=""2.90e+07""",B,"=""150474.9903""","=""172816.2926""","=""3s2.3p4.(3P).3d""","=""2D""","=""3/2""","=""3s2.3p4.(1D).4p""","=""2P*""","=""1/2""",,"=""T926""","=""L11520""",
Ar,2,"=""448.18104""","=""0.00001""","=""448.181045""","=""0.000006""","=""646""","=""4.55e+07""",B,"=""151087.3128""","=""173393.4658""","=""3s2.3p4.(3P).3d""","=""2D""","=""5/2""","=""3s2.3p4.(1D).4p""","=""2D*""","=""5/2""",,"=""T926""","=""L11520""",
Ar,2,"=""449.09813""","=""0.00002""","=""449.098136""","=""0.000006""","=""48""","=""4.6e+06""",B,"=""151087.3128""","=""173347.9158""","=""3s2.3p4.(3P).3d""","=""2D""","=""5/2""","=""3s2.3p4.(1D).4p""","=""2D*""","=""3/2""",,"=""T926""","=""L11520""",
Ar,2,"=""449.85374""","=""0.00005""","=""449.85383""","=""0.00003""","=""25""","=""""",,"=""174409.8916""","=""196633.1005""","=""3s2.3p4.(1D).3d""","=""2P""","=""3/2""","=""3s2.3p4.(3P<0>).4f""","=""2[3]*""","=""5/2""",,"=""""","=""L11520""",
Ar,2,"=""450.29265""","=""0.00003""","=""450.29272""","=""0.00004""","=""42""","=""""",,"=""172829.6539""","=""195031.2028""","=""3s2.3p4.(1D).3d""","=""2D""","=""3/2""","=""3s2.3p4.(3P<2>).4f""","=""2[2]*""","=""5/2""",,"=""""","=""L11520""",
Ar,2,"=""450.308""","=""0.002""","=""450.308810""","=""0.000006""","=""1h""","=""""",,"=""159393.3850""","=""181594.1404""","=""3s2.3p4.(3P).4p""","=""2D*""","=""3/2""","=""3s2.3p4.(3P).5s""","=""4P""","=""5/2""",,"=""""","=""L14821""",
Ar,8,"=""450.47""","=""0.04""","=""450.43""","=""0.12""","=""""","=""""",,"=""1059616.""","=""1081811.""","=""2p6.9s""","=""2S""","=""1/2""","=""2p6.10p""","=""2P*""","=""3/2""",,"=""""","=""L11180""",
Ar,2,"=""450.9957""","=""0.0008""","=""450.99643""","=""0.00003""","=""2""","=""""",,"=""172829.6539""","=""194996.5613""","=""3s2.3p4.(1D).3d""","=""2D""","=""3/2""","=""3s2.3p4.(3P<2>).4f""","=""2[2]*""","=""3/2""",,"=""""","=""L14821""",
Ar,1,"=""451.0733""","=""""","=""451.07334""","=""""","=""100""","=""1.18e+06""",B+,"=""95399.8276""","=""117562.9553""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).5p""","=""2[1/2]""","=""0""",,"=""T5223""","=""L2634""",
Ar,2,"=""451.6095""","=""0.0008""","=""451.610273""","=""0.000007""","=""1h,l""","=""""",,"=""181594.1404""","=""203730.9181""","=""3s2.3p4.(3P).5s""","=""4P""","=""5/2""","=""3s2.3p4.(3P).6p""","=""2P*""","=""3/2""",,"=""""","=""L14821""",
Ar,2,"=""451.75363""","=""0.00004""","=""451.753542""","=""0.000010""","=""4""","=""""",,"=""167307.9822""","=""189437.7396""","=""3s2.3p4.(1S).4s""","=""2S""","=""1/2""","=""3s2.3p4.(3P).5p""","=""4P*""","=""1/2""",,"=""""","=""L2634""",
Ar,1,"=""452.2323""","=""""","=""452.23234""","=""""","=""20""","=""9.0e+04""",B,"=""94553.6652""","=""116659.9934""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""0""","=""3s2.3p5.(2P*<3/2>).5p""","=""2[1/2]""","=""1""",,"=""T5223""","=""L2634""",
Ar,2,"=""453.05522""","=""0.00001""","=""453.055209""","=""0.000007""","=""63""","=""2.1e+06""",B,"=""150147.7021""","=""172213.8798""","=""3s2.3p4.(3P).3d""","=""2F""","=""5/2""","=""3s2.3p4.(1D).4p""","=""2P*""","=""3/2""",,"=""T926""","=""L11520""",
Ar,2,"=""453.54905""","=""0.00004""","=""453.549051""","=""0.000007""","=""21""","=""7.4e+06""",D,"=""161048.7411""","=""183090.8927""","=""3s2.3p4.(3P).4p""","=""4S*""","=""3/2""","=""3s2.3p4.(3P).5s""","=""2P""","=""3/2""",,"=""T1240""","=""L11520""",
Ar,2,"=""453.76409""","=""0.00010""","=""453.76423""","=""0.00003""","=""13""","=""""",,"=""172829.6539""","=""194861.3529""","=""3s2.3p4.(1D).3d""","=""2D""","=""3/2""","=""3s2.3p4.(3P<2>).4f""","=""2[3]*""","=""5/2""",,"=""""","=""L11520""",
Ar,2,"=""453.87102""","=""0.00004""","=""453.871052""","=""0.000013""","=""4""","=""""",,"=""170530.4040""","=""192556.9179""","=""3s2.3p4.(1D).4p""","=""2F*""","=""7/2""","=""3s2.3p4.(3P).4d""","=""2D""","=""5/2""",,"=""""","=""L2634""",
Ar,2,"=""454.38702""","=""0.00012""","=""454.386908""","=""0.000005""","=""10""","=""""",,"=""161089.3846""","=""183090.8927""","=""3s2.3p4.(3P).4p""","=""2S*""","=""1/2""","=""3s2.3p4.(3P).5s""","=""2P""","=""3/2""",,"=""""","=""L11520""",
Ar,1,"=""""","=""""","=""454.4746""","=""""","=""""","=""8.3e+04""",E,"=""104102.0990""","=""126099.36""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).11d""","=""2[1/2]*""","=""1""",,"=""T1164n""","=""""",
Ar,2,"=""454.50516""","=""0.00001""","=""454.505166""","=""0.000007""","=""1738""","=""4.71e+07""",B,"=""138243.6444""","=""160239.4280""","=""3s2.3p4.(3P).4s""","=""2P""","=""3/2""","=""3s2.3p4.(3P).4p""","=""2P*""","=""3/2""",,"=""T926""","=""L11520""",
Ar,2,"=""454.77582""","=""0.00008""","=""454.775828""","=""0.000007""","=""20""","=""7.7e+06""",D,"=""160239.4280""","=""182222.1209""","=""3s2.3p4.(3P).4p""","=""2P*""","=""3/2""","=""3s2.3p4.(3P).5s""","=""4P""","=""3/2""",,"=""T1240""","=""L11520""",
Ar,3,"=""454.8565""","=""0.0020""","=""454.85516""","=""0.00017""","=""2""","=""""",,"=""187172.022""","=""209150.8807""","=""3s2.3p3.(2D*).3d""","=""3D*""","=""1""","=""3s2.3p3.(4S*).4p""","=""3P""","=""2""",,"=""""","=""L9366""",
Ar,1,"=""""","=""""","=""455.4324""","=""""","=""""","=""3.8e+04""",E,"=""104102.0990""","=""126053.10""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).7d""","=""2[3/2]*""","=""2""",,"=""T1164n""","=""""",
Ar,2,"=""456.10124""","=""0.00012""","=""456.101276""","=""0.000017""","=""7""","=""""",,"=""157673.4134""","=""179592.2248""","=""3s2.3p4.(3P).4p""","=""4D*""","=""5/2""","=""3s2.3p4.(1S).3d""","=""2D""","=""5/2""",,"=""""","=""L11520""",
Ar,2,"=""456.37423""","=""0.00006""","=""456.37427""","=""0.00003""","=""37bl""","=""""",,"=""174409.8916""","=""196315.5916""","=""3s2.3p4.(1D).3d""","=""2P""","=""3/2""","=""3s2.3p4.(3P<1>).4f""","=""2[3]*""","=""5/2""",,"=""""","=""L11520""",
Ar,2,"=""456.44055""","=""0.00004""","=""456.440540""","=""0.000009""","=""42""","=""2.9e+07""",D,"=""161048.7411""","=""182951.2609""","=""3s2.3p4.(3P).4p""","=""4S*""","=""3/2""","=""3s2.3p4.(3P).5s""","=""4P""","=""1/2""",,"=""T1240""","=""L11520""",
Ar,3,"=""456.5210""","=""0.0020""","=""456.5206""","=""0.0004""","=""8""","=""""",,"=""219908.474""","=""241807.155""","=""3s2.3p3.(2D*).3d""","=""1P*""","=""1""","=""3s2.3p3.(2P*).4p""","=""1P""","=""1""",,"=""""","=""L9366""",
Ar,2,"=""457.2894""","=""0.0008""","=""457.289124""","=""0.000007""","=""2""","=""""",,"=""161089.3846""","=""182951.2609""","=""3s2.3p4.(3P).4p""","=""2S*""","=""1/2""","=""3s2.3p4.(3P).5s""","=""4P""","=""1/2""",,"=""""","=""L14821""",
Ar,2,"=""457.93493""","=""0.00001""","=""457.934934""","=""0.000007""","=""871""","=""8.0e+07""",B,"=""139258.3389""","=""161089.3846""","=""3s2.3p4.(3P).4s""","=""2P""","=""1/2""","=""3s2.3p4.(3P).4p""","=""2S*""","=""1/2""",,"=""T926""","=""L11520""",
Ar,1,"=""""","=""""","=""458.4956""","=""""","=""""","=""1.6e+05""",E,"=""104102.0990""","=""125906.45""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).10d""","=""2[3/2]*""","=""2""",,"=""T1164n""","=""""",
Ar,1,"=""""","=""""","=""458.6611""","=""""","=""""","=""2.3e+05""",E,"=""104102.0990""","=""125898.58""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).10d""","=""2[1/2]*""","=""1""",,"=""T1164n""","=""""",
Ar,1,"=""""","=""""","=""458.7209""","=""""","=""""","=""4.9e+05""",E,"=""104102.0990""","=""125895.74""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).10d""","=""2[1/2]*""","=""0""",,"=""T1164n""","=""""",
Ar,2,"=""458.7895""","=""0.0008""","=""458.789089""","=""0.000009""","=""3""","=""3.e+05""",C,"=""139258.3389""","=""161048.7411""","=""3s2.3p4.(3P).4s""","=""2P""","=""1/2""","=""3s2.3p4.(3P).4p""","=""4S*""","=""3/2""",,"=""T926""","=""L14821""",
Ar,1,"=""""","=""""","=""458.92893""","=""""","=""""","=""6.2e+03""",C,"=""95399.8276""","=""117183.5901""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).5p""","=""2[3/2]""","=""2""",,"=""T5223""","=""""",
Ar,2,"=""458.98976""","=""0.00001""","=""458.989759""","=""0.000007""","=""25704""","=""6.64e+07""",A,"=""148620.1414""","=""170401.0170""","=""3s2.3p4.(1D).4s""","=""2D""","=""3/2""","=""3s2.3p4.(1D).4p""","=""2F*""","=""5/2""",,"=""T926""","=""L11520""",
Ar,2,"=""459.34476""","=""0.00004""","=""459.34483""","=""0.00003""","=""4""","=""""",,"=""158167.7999""","=""179931.8393""","=""3s2.3p4.(3P).4p""","=""4D*""","=""3/2""","=""3s2.3p4.(1S).3d""","=""2D""","=""3/2""",,"=""""","=""L2634""",
Ar,1,"=""459.6097""","=""""","=""459.60966""","=""""","=""15""","=""9.5e+04""",B,"=""95399.8276""","=""117151.3264""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).5p""","=""2[3/2]""","=""1""",,"=""T5223""","=""L2634""",
Ar,2,"=""459.87625""","=""0.00001""","=""459.876258""","=""0.000007""","=""182""","=""6.7e+06""",B,"=""150474.9903""","=""172213.8798""","=""3s2.3p4.(3P).3d""","=""2D""","=""3/2""","=""3s2.3p4.(1D).4p""","=""2P*""","=""3/2""",,"=""T926""","=""L11520""",
Ar,2,"=""460.002""","=""0.002""","=""460.001880""","=""0.000009""","=""1h""","=""""",,"=""167307.9822""","=""189040.9351""","=""3s2.3p4.(1S).4s""","=""2S""","=""1/2""","=""3s2.3p4.(3P).5p""","=""4P*""","=""3/2""",,"=""""","=""L14821""",
Ar,2,"=""460.95669""","=""0.00001""","=""460.956692""","=""0.000007""","=""2291""","=""7.89e+07""",A,"=""148842.4674""","=""170530.4040""","=""3s2.3p4.(1D).4s""","=""2D""","=""5/2""","=""3s2.3p4.(1D).4p""","=""2F*""","=""7/2""",,"=""T926""","=""L11520""",
Ar,2,"=""461.12432""","=""0.00016""","=""461.12444""","=""0.00003""","=""9""","=""""",,"=""174409.8916""","=""196089.9385""","=""3s2.3p4.(1D).3d""","=""2P""","=""3/2""","=""3s2.3p4.(3P<1>).4f""","=""2[2]*""","=""5/2""",,"=""""","=""L11520""",
Ar,2,"=""461.410""","=""0.002""","=""461.41106""","=""0.00004""","=""1h""","=""""",,"=""174409.8916""","=""196076.4715""","=""3s2.3p4.(1D).3d""","=""2P""","=""3/2""","=""3s2.3p4.(3P<1>).4f""","=""2[2]*""","=""3/2""",,"=""""","=""L14821""",
Ar,5,"=""462.547""","=""0.004""","=""462.539""","=""0.007""","=""""","=""3.8e+00""",D,"=""16298.66""","=""37912.4""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p2""","=""1S""","=""0""",E2,"=""T761""","=""L16109""",
Ar,1,"=""462.8441""","=""""","=""462.84409""","=""""","=""7""","=""3.83e+04""",B+,"=""95399.8276""","=""116999.3259""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).5p""","=""2[5/2]""","=""2""",,"=""T5223""","=""L2634""",
Ar,8,"=""463.08""","=""0.04""","=""463.1""","=""0.5""","=""""","=""""",,"=""1086703.""","=""1108291.""","=""2p6.10f""","=""2F*""","=""7/2""","=""2p6.12g""","=""2G""","=""9/2""",,"=""""","=""L16099""",
Ar,2,"=""463.72324""","=""0.00001""","=""463.723239""","=""0.000007""","=""148""","=""7.1e+06""",A,"=""148842.4674""","=""170401.0170""","=""3s2.3p4.(1D).4s""","=""2D""","=""5/2""","=""3s2.3p4.(1D).4p""","=""2F*""","=""5/2""",,"=""T926""","=""L11520""",
Ar,1,"=""""","=""""","=""464.2137""","=""""","=""""","=""9.6e+04""",E,"=""104102.0990""","=""125637.87""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).9d""","=""2[3/2]*""","=""2""",,"=""T1164n""","=""""",
Ar,1,"=""""","=""""","=""464.7489""","=""""","=""""","=""1.2e+05""",E,"=""104102.0990""","=""125613.07""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).9d""","=""2[1/2]*""","=""1""",,"=""T1164n""","=""""",
Ar,8,"=""464.80""","=""0.04""","=""464.8""","=""0.3""","=""*""","=""""",,"=""1086860.""","=""1108370.""","=""2p6.10g""","=""2G""","=""7/2""","=""2p6.12h""","=""2H*""","=""9/2""",,"=""""","=""L16099""",
Ar,8,"=""464.80""","=""0.04""","=""464.8""","=""0.3""","=""*""","=""""",,"=""1086860.""","=""1108370.""","=""2p6.10g""","=""2G""","=""9/2""","=""2p6.12h""","=""2H*""","=""11/2""",,"=""""","=""L16099""",
Ar,2,"=""465.79009""","=""0.00001""","=""465.790090""","=""0.000007""","=""1445""","=""8.92e+07""",B,"=""138243.6444""","=""159706.5337""","=""3s2.3p4.(3P).4s""","=""2P""","=""3/2""","=""3s2.3p4.(3P).4p""","=""2P*""","=""1/2""",,"=""T926""","=""L11520""",
Ar,2,"=""466.6260""","=""0.0008""","=""466.626360""","=""0.000020""","=""1""","=""""",,"=""158167.7999""","=""179592.2248""","=""3s2.3p4.(3P).4p""","=""4D*""","=""3/2""","=""3s2.3p4.(1S).3d""","=""2D""","=""5/2""",,"=""""","=""L14821""",
Ar,2,"=""468.14971""","=""0.00004""","=""468.149686""","=""0.000007""","=""5""","=""""",,"=""160239.4280""","=""181594.1404""","=""3s2.3p4.(3P).4p""","=""2P*""","=""3/2""","=""3s2.3p4.(3P).5s""","=""4P""","=""5/2""",,"=""""","=""L2634""",
Ar,2,"=""468.22759""","=""0.00004""","=""468.227587""","=""0.000007""","=""21""","=""8.e+05""",C+,"=""149179.2444""","=""170530.4040""","=""3s2.3p4.(3P).3d""","=""2F""","=""7/2""","=""3s2.3p4.(1D).4p""","=""2F*""","=""7/2""",,"=""T926""","=""L11520""",
Ar,3,"=""468.7618""","=""0.0020""","=""468.75929""","=""0.00013""","=""5""","=""""",,"=""187823.939""","=""209150.8807""","=""3s2.3p3.(2D*).3d""","=""3D*""","=""2""","=""3s2.3p3.(4S*).4p""","=""3P""","=""2""",,"=""""","=""L9366""",
Ar,1,"=""470.2316""","=""""","=""470.23164""","=""""","=""15""","=""1.09e+05""",B,"=""95399.8276""","=""116659.9934""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).5p""","=""2[1/2]""","=""1""",,"=""T5223""","=""L2634""",
Ar,2,"=""470.33576""","=""0.00008""","=""470.33571""","=""0.00004""","=""15""","=""""",,"=""174821.0098""","=""196076.4715""","=""3s2.3p4.(1D).3d""","=""2P""","=""1/2""","=""3s2.3p4.(3P<1>).4f""","=""2[2]*""","=""3/2""",,"=""""","=""L11520""",
Ar,2,"=""471.08230""","=""0.00004""","=""471.082366""","=""0.000007""","=""14""","=""5.e+05""",C+,"=""149179.2444""","=""170401.0170""","=""3s2.3p4.(3P).3d""","=""2F""","=""7/2""","=""3s2.3p4.(1D).4p""","=""2F*""","=""5/2""",,"=""T926""","=""L11520""",
Ar,4,"=""471.135""","=""0.002""","=""471.126""","=""0.009""","=""*""","=""9.6e-03""",D,"=""0.0""","=""21219.8""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p3""","=""2D*""","=""5/2""",M1+E2,"=""T761""","=""L3452""",
Ar,2,"=""472.15913""","=""0.00005""","=""472.159064""","=""0.000009""","=""32""","=""1.5e+07""",D,"=""161048.7411""","=""182222.1209""","=""3s2.3p4.(3P).4p""","=""4S*""","=""3/2""","=""3s2.3p4.(3P).5s""","=""4P""","=""3/2""",,"=""T1240""","=""L11520""",
Ar,2,"=""472.68681""","=""0.00001""","=""472.686807""","=""0.000007""","=""23442""","=""5.88e+07""",A,"=""138243.6444""","=""159393.3850""","=""3s2.3p4.(3P).4s""","=""2P""","=""3/2""","=""3s2.3p4.(3P).4p""","=""2D*""","=""3/2""",,"=""T926""","=""L11520""",
Ar,2,"=""473.0672""","=""0.0002""","=""473.067157""","=""0.000007""","=""7""","=""""",,"=""161089.3846""","=""182222.1209""","=""3s2.3p4.(3P).4p""","=""2S*""","=""1/2""","=""3s2.3p4.(3P).5s""","=""4P""","=""3/2""",,"=""""","=""L11520""",
Ar,3,"=""473.1386""","=""0.0020""","=""473.141""","=""0.003""","=""7""","=""""",,"=""210212.72""","=""231342.1658""","=""3s2.3p3.(2P*).3d""","=""3D*""","=""3""","=""3s2.3p3.(2D*).4p""","=""3P""","=""2""",,"=""""","=""L9366""",
Ar,2,"=""473.20530""","=""0.00001""","=""473.205302""","=""0.000007""","=""200""","=""6.7e+06""",B,"=""151087.3128""","=""172213.8798""","=""3s2.3p4.(3P).3d""","=""2D""","=""5/2""","=""3s2.3p4.(1D).4p""","=""2P*""","=""3/2""",,"=""T926""","=""L11520""",
Ar,2,"=""473.59055""","=""0.00001""","=""473.590548""","=""0.000009""","=""1000""","=""5.80e+07""",A,"=""134241.7389""","=""155351.1206""","=""3s2.3p4.(3P).4s""","=""4P""","=""5/2""","=""3s2.3p4.(3P).4p""","=""4P*""","=""3/2""",,"=""T926""","=""L11520""",
Ar,4,"=""474.020""","=""0.002""","=""474.012""","=""0.010""","=""*""","=""7.2e-02""",C,"=""0.0""","=""21090.6""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p3""","=""2D*""","=""3/2""",M1,"=""T761""","=""L3452""",
Ar,4,"=""474.020""","=""0.002""","=""474.012""","=""0.010""","=""*""","=""5.1e-03""",D,"=""0.0""","=""21090.6""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p3""","=""2D*""","=""3/2""",E2,"=""T761""","=""L3452""",
Ar,2,"=""474.319""","=""0.002""","=""474.3195""","=""0.0005""","=""0?""","=""""",,"=""190592.2306""","=""211669.17""","=""3s2.3p4.(3P).4d""","=""2P""","=""3/2""","=""3s2.3p4.(3P<1>).6f""","=""2[3]*""","=""5/2""",,"=""""","=""L14821""",
Ar,1,"=""""","=""""","=""474.6821""","=""""","=""""","=""3.6e+05""",E,"=""104102.0990""","=""125162.94""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).8d""","=""2[1/2]*""","=""0""",,"=""T1164n""","=""""",
Ar,1,"=""""","=""""","=""475.29388""","=""""","=""""","=""4.5e+05""",E,"=""104102.0990""","=""125135.831""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).8d""","=""2[1/2]*""","=""1""",,"=""T1164n""","=""""",
Ar,2,"=""475.72197""","=""0.00005""","=""475.721993""","=""0.000009""","=""5""","=""""",,"=""183914.6440""","=""204929.4477""","=""3s2.3p4.(3P).5s""","=""2P""","=""1/2""","=""3s2.3p4.(3P).6p""","=""2S*""","=""1/2""",,"=""""","=""L2634""",
Ar,2,"=""476.48644""","=""0.00001""","=""476.486444""","=""0.000007""","=""2344""","=""6.4e+07""",B,"=""139258.3389""","=""160239.4280""","=""3s2.3p4.(3P).4s""","=""2P""","=""1/2""","=""3s2.3p4.(3P).4p""","=""2P*""","=""3/2""",,"=""T926""","=""L11520""",
Ar,1,"=""""","=""""","=""476.86729""","=""""","=""""","=""8.6e+05""",D,"=""104102.0990""","=""125066.432""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).6d""","=""2[3/2]*""","=""2""",,"=""T1218n""","=""""",
Ar,3,"=""477.2166""","=""0.0020""","=""477.2189""","=""0.0003""","=""4""","=""""",,"=""231627.364""","=""252576.253""","=""3s2.3p3.(2D*).4p""","=""3P""","=""1""","=""3s2.3p3.(4S*).5s""","=""3S*""","=""1""",,"=""""","=""L9366""",
Ar,2,"=""478.6150""","=""0.0002""","=""478.61483""","=""0.00004""","=""6""","=""""",,"=""174409.8916""","=""195297.6798""","=""3s2.3p4.(1D).3d""","=""2P""","=""3/2""","=""3s2.3p4.(3P<2>).4f""","=""2[1]*""","=""3/2""",,"=""""","=""L11520""",
Ar,2,"=""479.20818""","=""0.00006""","=""479.208185""","=""0.000019""","=""17""","=""""",,"=""158730.2995""","=""179592.2248""","=""3s2.3p4.(3P).4p""","=""2D*""","=""5/2""","=""3s2.3p4.(1S).3d""","=""2D""","=""5/2""",,"=""""","=""L11520""",
Ar,2,"=""479.259""","=""0.002""","=""479.2590""","=""0.0021""","=""0h""","=""""",,"=""195123.6464""","=""215983.36""","=""3s2.3p4.(3P<2>).4f""","=""2[5]*""","=""11/2""","=""3s2.3p4.(3P<2>).8g""","=""2[6]""","=""13/2""",,"=""""","=""L14821""",
Ar,2,"=""479.371""","=""0.002""","=""479.3711""","=""0.0021""","=""0h""","=""""",,"=""195128.3735""","=""215983.21""","=""3s2.3p4.(3P<2>).4f""","=""2[5]*""","=""9/2""","=""3s2.3p4.(3P<2>).8g""","=""2[6]""","=""11/2""",,"=""""","=""L14821""",
Ar,1,"=""""","=""""","=""479.8742""","=""""","=""""","=""8.8e+04""",E,"=""105462.7596""","=""126295.73""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""3""","=""3s2.3p5.(2P*<3/2>).12d""","=""2[7/2]*""","=""4""",,"=""T1164n""","=""""",
Ar,3,"=""480.1368""","=""0.0020""","=""480.1405""","=""0.0003""","=""2""","=""""",,"=""231754.836""","=""252576.253""","=""3s2.3p3.(2D*).4p""","=""3P""","=""0""","=""3s2.3p3.(4S*).5s""","=""3S*""","=""1""",,"=""""","=""L9366""",
Ar,2,"=""480.60202""","=""0.00001""","=""480.602014""","=""0.000010""","=""1820""","=""7.80e+07""",A,"=""134241.7389""","=""155043.1619""","=""3s2.3p4.(3P).4s""","=""4P""","=""5/2""","=""3s2.3p4.(3P).4p""","=""4P*""","=""5/2""",,"=""T926""","=""L11520""",
Ar,1,"=""""","=""""","=""483.5970""","=""""","=""""","=""9.3e+04""",E,"=""105462.7596""","=""126135.36""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""3""","=""3s2.3p5.(2P*<3/2>).11d""","=""2[7/2]*""","=""4""",,"=""T1164n""","=""""",
